Restaurant ID,Name,Aggregate Rating,Rating Subtitle,Votes,Dining Review Count,Delivery Rating,Delivery Review Count,Cost for Two,Cost for One,Locality,Address,Cuisine,City,latitude,longitude
20086484,Punjabi Angithi By Vegorama Group,4.0,Very Good,15.3K,0,4.0,15.3K,₹500 for two,₹400 for one,"Adchini, New Delhi","84, Ground Floor, Left Corner, Behind Hero Showroom, Shri Aurbindo Marg, Adchini, New Delhi","North Indian, Chinese, Rolls, Momos, Street Food, Ice Cream",Delhi NCR,28.53794,77.19911
20254079,Bakingo,4.3,Very Good,"4,563",0,4.3,"4,563",₹400 for two,₹400 for one,"Vasant Kunj, New Delhi","Shop-1, C-40 A/9, Ground Floor, Kishan Garh, Vasant Kunj, New Delhi","Bakery, Desserts",Delhi NCR,28.53151,77.15021
19985337,Hira Sweets,3.6,Good,"4,635",16,4.1,"4,619",₹500 for two,₹400 for one,"Saket, New Delhi","Unit 1, Block J, LSC DDA Market, Saket, New Delhi","Mithai, North Indian, South Indian, Chinese, Pizza, Street Food, Ice Cream, Beverages",Delhi NCR,28.52407,77.20674
19660401,Khadak Singh Da Dhaba,4.3,Very Good,13.4K,321,4.1,13K,₹600 for two,₹400 for one,"Malviya Nagar, New Delhi","T 7A, Ground Floor, Khirki Extention, Malviya Nagar, New Delhi","North Indian, Chinese, Oriental, Kebab, Mughlai, Biryani, Rolls, Momos",Delhi NCR,28.53387,77.20691
19172989,The Burger Club,4.1,Very Good,"9,097",0,4.1,"9,097",₹850 for two,₹400 for one,"Vasant Kunj, New Delhi","Shop 3, House 180, Shanker Lane, Masoodpur, Near Community Centre, Vasant Kunj, New Delhi","Burger, Coffee, Beverages, Fast Food",Delhi NCR,28.53151,77.15021
6475,Nazeer Foods,3.8,Good,14K,"1,094",4.0,12.9K,₹900 for two,₹400 for one,"Malviya Nagar, New Delhi","C-5, Ground Floor, Main Market, Malviya Nagar, New Delhi","North Indian, Mughlai, Biryani, Rolls, Burger, Fast Food, Beverages",Delhi NCR,28.53387,77.20691
4726,Wah Ji Wah,3.2,Average,"3,031",6,3.5,"3,025",₹400 for two,₹400 for one,"Saket, New Delhi","H 24, 2nd Floor, Saidulajab Extension, Sakidul Azaib, Saket, New Delhi","North Indian, Chinese, Rolls, Kebab, Fast Food, Momos",Delhi NCR,28.52407,77.20674
18425733,Biryani Blues,4.1,Very Good,"1,829",337,4.2,"1,492",₹500 for two,₹400 for one,"DLF Promenade Mall, Vasant Kunj, New Delhi","Shop 29, ground floor, vasant square mall, Vasant Kunj, New Delhi","Biryani, Hyderabadi, Mughlai",Delhi NCR,28.53711,77.1446
18690335,Theobroma,4.1,Very Good,"9,710",203,4.3,"9,507",₹300 for two,₹400 for one,"MG Road, New Delhi","G-117 B, Ground Floor, The Gallery, New Manglapuri, MG Road, New Delhi","Bakery, Desserts, Coffee",Delhi NCR,28.64608,77.12666
19933666,The Belgian Waffle Co.,4.1,Very Good,"2,117",24,4.4,"2,093",₹200 for two,₹400 for one,"Vasant Kunj, New Delhi","Shop 30, Ground Floor, LSC, B-7, Vasant Kunj, New Delhi","Waffle, Pancake, Ice Cream, Desserts, Beverages",Delhi NCR,28.53151,77.15021
18948844,"Gianis - Ice Cream, Shakes & Sundaes",4.0,Very Good,"4,617",107,4.2,"4,510",₹350 for two,₹100 for one,"Vasant Kunj, New Delhi","7, B7, Vasant Arcade, Nelson Mandela Marg, Vasant Kunj, New Delhi","Ice Cream, Shake",Delhi NCR,28.53151,77.15021
20586568,Cheesecake & Co.,4.4,Very Good,"1,138",0,4.4,"1,138",₹600 for two,₹100 for one,"Vasant Kunj, New Delhi","162/9, Ground Floor, Kishan Garh, Vasant Kunj, New Delhi",Bakery,Delhi NCR,28.53151,77.15021
18486850,Firangi Bake,3.8,Good,"1,228",0,3.8,"1,228",₹450 for two,₹100 for one,"Vasant Kunj, New Delhi","A 85, First Floor, Main Road, Masood Pur, Vasant Kunj, New Delhi","Italian, Mexican, Pasta",Delhi NCR,28.53151,77.15021
18599178,Kake Da Hotel,3.6,Good,12.3K,423,4.0,11.9K,₹850 for two,₹100 for one,"Vasant Kunj, New Delhi","151/A9, Old Car Market, Near Ambience Tower, Vasant Kunj, New Delhi","North Indian, Mughlai, Biryani, Chinese, Rolls",Delhi NCR,28.53151,77.15021
18645300,Berco's - If You Love Chinese,4.1,Very Good,"7,886",0,4.1,"7,886","₹1,500 for two",₹100 for one,"Munirka, New Delhi","B 253, Rama Market, Munirka Village, Near SBI Bank, Munirka, New Delhi","Asian, Thai, Chinese, Momos, Seafood, Desserts, Beverages",Delhi NCR,28.55652,77.16379
19455578,Nathu's Sweets,3.7,Good,"2,176",5,3.9,"2,171",₹400 for two,₹100 for one,"Chhatarpur, New Delhi","D89, Khasra 272/1, Main 100 Feet Road, Chhatarpur, New Delhi","Mithai, North Indian, Chinese, South Indian, Street Food, Beverages, Desserts",Delhi NCR,28.5045,77.1736
20400801,CakeZone,4.4,Very Good,"1,587",0,4.4,"1,587",₹450 for two,₹100 for one,"Vasant Kunj, New Delhi","Shop 2, Second Floor, Masoodpur Village, Vasant Kunj, New Delhi","Bakery, Desserts, Mithai",Delhi NCR,28.53151,77.15021
